date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-01-22,173.45,174.64,172.78,173.68,161.6522,2476900.0,0.0,1.0
2014-01-23,172.42,172.42,169.02,170.75,158.9251,3977700.0,0.0,1.0
2014-01-24,168.53,169.96,167.22,167.64,156.0305,4156200.0,0.0,1.0
2014-01-27,167.08,167.6,163.43,164.69,153.2848,5589600.0,0.0,1.0
2014-01-28,165.03,166.55,164.59,166.25,154.7367,3170400.0,0.0,1.0
2014-01-29,163.97,166.1,163.62,163.9,152.5495,3473700.0,0.0,1.0
2014-01-30,165.33,166.17,164.57,165.84,154.3551,2829400.0,0.0,1.0
2014-01-31,163.8,165.979,163.3,164.12,152.7543,3415500.0,0.0,1.0
2014-02-03,165.15,165.52,159.77,159.82,148.752,5079700.0,0.0,1.0
2014-02-04,160.9,162.575,159.85,161.76,150.5577,3346600.0,0.0,1.0
2014-02-05,160.59,162.65,160.32,160.42,149.3105,3212900.0,0.0,1.0
2014-02-06,161.16,162.0,160.1001,161.75,150.5484,3798000.0,0.0,1.0
2014-02-07,162.78,162.9,160.27,161.93,150.7159,4879900.0,0.0,1.0
2014-02-10,161.02,161.77,160.28,161.0,149.8503,4321700.0,0.0,1.0
2014-02-11,161.21,164.958,160.31,164.39,153.0056,4996300.0,0.0,1.0
2014-02-12,164.5,165.23,163.23,163.5,152.1772,3046600.0,0.0,1.0
2014-02-13,162.55,164.4,162.1,164.06,152.6984,3119600.0,0.0,1.0
2014-02-14,163.33,164.5,162.93,163.72,152.382,3287900.0,0.0,1.0
2014-02-18,164.04,165.59,163.72,164.65,153.2475,3399900.0,0.0,1.0
2014-02-19,163.91,166.18,162.98,163.26,151.9538,3669700.0,0.0,1.0
2014-02-20,163.49,164.97,162.6718,164.5,153.1079,2631900.0,0.0,1.0
2014-02-21,164.3,165.649,164.15,164.5,153.1079,2594500.0,0.0,1.0
2014-02-24,164.08,167.41,164.08,166.54,155.0067,3242900.0,0.0,1.0
